layer,neuron,mean_abs_activation,activation_std,sharedness
4,1293,1.4523193359375,0.8288358865224023,1.752237816093198
6,1277,1.44912109375,0.06743452216530556,21.488987513105496
7,224,1.4473046875,0.06803381180221967,21.273001999437895
0,583,1.4451318359375,1.5915153040499148,0.90802201162507
0,1041,1.43532958984375,0.8937460599125532,1.6059684604547808
2,175,1.421298828125,0.290132908947923,4.898768411037793
4,1784,1.419189453125,1.3268301083092522,1.0696082148190194
10,22,1.410498046875,0.358131230085417,3.938483968724587
10,381,1.40326416015625,0.6533393429252505,2.147830262361128
9,173,1.40306640625,0.06955601900384384,20.171456832738393
