model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_instruct,instruct,currency,currency:16,currency:17,chat_template,qa,primary,0,27,0.2857142857142857,0.0,-0.2857142857142857,0.0,0.0,0.0,0.10074883699417114,0.09609371423721313,-0.004655122756958008,0.0,-0.2857142857142857,0.0,0.0,0.09775727987289429,-0.0029915571212768555,0.2857142857142857,0.0,0.0,0.0,0.10046529769897461,-0.0002835392951965332,0.0,0.0,0.0,0.0,0.0,0.0,-0.003959536552429199,-0.005073428153991699,-0.0011138916015625,0.0,0.0,0.0,0.0,-0.004760146141052246,-0.0008006095886230469,0.0,0.0,0.0,0.0,-0.004491448402404785,-0.0005319118499755859
smollm2_360m_instruct,instruct,currency,currency:17,currency:2,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0712772011756897,0.05996519327163696,-0.011312007904052734,0.0,0.0,0.0,0.0,0.061215221881866455,-0.010061979293823242,0.0,0.0,0.0,0.0,0.07210707664489746,0.0008298754692077637,0.0,0.0,0.0,0.0,0.0,0.0,0.0032276511192321777,0.0024593472480773926,-0.0007683038711547852,0.0,0.0,0.0,0.0,0.00027930736541748047,-0.0029483437538146973,0.0,0.0,0.0,0.0,-0.0008075833320617676,-0.004035234451293945
smollm2_360m_instruct,instruct,headquarters,headquarters:14,headquarters:15,chat_template,qa,primary,0,27,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.03051227331161499,0.052154481410980225,0.021642208099365234,0.2857142857142857,0.0,0.2857142857142857,0.0,0.03225696086883545,0.001744687557220459,0.2857142857142857,0.0,0.2857142857142857,0.0,0.03105449676513672,0.0005422234535217285,0.0,0.0,0.0,0.0,0.0,0.0,0.0004163980484008789,-0.00026994943618774414,-0.000686347484588623,0.0,0.0,0.0,0.0,0.0009055137634277344,0.0004891157150268555,0.0,0.0,0.0,0.0,-0.0004965066909790039,-0.0009129047393798828
smollm2_360m_instruct,instruct,headquarters,headquarters:15,headquarters:16,chat_template,qa,primary,0,27,0.22222222222222224,0.0,-0.22222222222222224,0.22222222222222224,0.0,-0.22222222222222224,0.047908008098602295,0.007103621959686279,-0.040804386138916016,0.25,0.027777777777777762,0.25,0.027777777777777762,0.016343653202056885,-0.03156435489654541,0.22222222222222224,0.0,0.22222222222222224,0.0,0.04802471399307251,0.00011670589447021484,0.0,0.0,0.0,0.0,0.0,0.0,0.021681606769561768,0.009900331497192383,-0.011781275272369385,0.0,0.0,0.0,0.0,-0.006438851356506348,-0.028120458126068115,0.0,0.0,0.0,0.0,-0.0016905665397644043,-0.023372173309326172
smollm2_360m_instruct,instruct,headquarters,headquarters:16,headquarters:17,chat_template,qa,primary,0,27,0.0,0.0,0.0,-0.5,-1.0,-0.5,0.022846877574920654,0.053198397159576416,0.03035151958465576,0.0,0.0,-1.0,-0.5,0.05486595630645752,0.032019078731536865,0.0,0.0,-0.5,0.0,0.021343350410461426,-0.0015035271644592285,0.0,0.0,0.0,0.0,0.0,0.0,-0.003979086875915527,-0.0038591623306274414,0.00011992454528808594,0.0,0.0,0.0,0.0,-0.003728210926055908,0.00025087594985961914,0.0,0.0,0.0,0.0,-0.00519794225692749,-0.0012188553810119629
smollm2_360m_instruct,instruct,headquarters,headquarters:17,headquarters:2,chat_template,qa,primary,0,27,0.22222222222222224,0.22222222222222224,0.0,0.22222222222222224,0.22222222222222224,0.0,0.03075629472732544,0.05968010425567627,0.02892380952835083,0.22222222222222224,0.0,0.22222222222222224,0.0,0.059950411319732666,0.029194116592407227,0.22222222222222224,0.0,0.22222222222222224,0.0,0.029719412326812744,-0.0010368824005126953,0.0,0.0,0.0,0.0,0.0,0.0,-8.165836334228516e-05,-0.0033780932426452637,-0.0032964348793029785,0.0,0.0,0.0,0.0,-0.0038973093032836914,-0.0038156509399414062,0.0,0.0,0.0,0.0,-0.001406252384185791,-0.0013245940208435059
smollm2_360m_instruct,instruct,birth_place,birth_place:14,birth_place:15,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.053051531314849854,0.012242138385772705,-0.04080939292907715,0.0,0.0,0.0,0.0,0.05306816101074219,1.6629695892333984e-05,0.0,0.0,0.0,0.0,0.05363929271697998,0.000587761402130127,0.0,0.0,0.0,0.0,0.0,0.0,0.02702164649963379,0.026999711990356445,-2.193450927734375e-05,0.0,0.0,0.0,0.0,0.02388674020767212,-0.00313490629196167,0.0,0.0,0.0,0.0,0.026799142360687256,-0.0002225041389465332
smollm2_360m_instruct,instruct,birth_place,birth_place:15,birth_place:16,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0608370304107666,0.009373366832733154,-0.05146366357803345,0.0,0.0,0.0,0.0,0.06332331895828247,0.002486288547515869,0.0,0.0,0.0,0.0,0.05787175893783569,-0.002965271472930908,0.0,0.0,0.0,0.0,0.0,0.0,0.011730551719665527,0.007068932056427002,-0.004661619663238525,0.0,0.0,0.0,0.0,-0.007795929908752441,-0.01952648162841797,0.0,0.0,0.0,0.0,-0.006895244121551514,-0.01862579584121704
smollm2_360m_instruct,instruct,birth_place,birth_place:16,birth_place:17,chat_template,qa,primary,0,27,1.0,0.0,-1.0,1.0,0.0,-1.0,0.12956500053405762,-0.06254202127456665,-0.19210702180862427,1.0,0.0,1.0,0.0,0.13108211755752563,0.0015171170234680176,1.0,0.0,1.0,0.0,0.1247873306274414,-0.004777669906616211,0.0,0.0,0.0,0.0,0.0,0.0,0.002761363983154297,-0.007091045379638672,-0.009852409362792969,0.0,0.0,0.0,0.0,-0.00025451183319091797,-0.003015875816345215,0.0,0.0,0.0,0.0,-0.010868430137634277,-0.013629794120788574
smollm2_360m_instruct,instruct,birth_place,birth_place:17,birth_place:2,chat_template,qa,primary,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.04214620590209961,0.014821290969848633,-0.027324914932250977,0.0,0.0,0.0,0.0,0.04139673709869385,-0.0007494688034057617,0.0,0.0,0.0,0.0,0.04310119152069092,0.0009549856185913086,0.0,0.0,0.0,0.0,0.0,0.0,0.014260411262512207,0.013884782791137695,-0.0003756284713745117,0.0,0.0,0.0,0.0,0.011261463165283203,-0.002998948097229004,0.0,0.0,0.0,0.0,0.01272958517074585,-0.0015308260917663574
