model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,7,12.270529747009277,2.7269692420959473,0.2163674682378769
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,8,12.445899963378906,3.308889150619507,0.1914757937192917
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,9,13.166291236877441,2.824901819229126,0.20397071540355682
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,10,13.643451690673828,4.58148193359375,0.20744505524635315
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,11,13.443427085876465,2.929373264312744,0.2086125612258911
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,12,14.375320434570312,3.7351467609405518,0.21117110550403595
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,13,15.470645904541016,2.763735771179199,0.21606504917144775
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,14,19.76398277282715,8.428853034973145,0.2522048056125641
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,15,20.52785301208496,4.869555473327637,0.2627236545085907
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,16,20.91921043395996,2.324838876724243,0.278496652841568
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,17,25.409841537475586,7.74687385559082,0.24796552956104279
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,18,33.50576400756836,3.781899929046631,0.242942214012146
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,19,35.316104888916016,4.038656711578369,0.2817886173725128
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,20,43.0246696472168,10.623543739318848,0.2951376438140869
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,21,59.03972625732422,20.831039428710938,0.2980637550354004
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,22,67.9197998046875,2.7692911624908447,0.45024430751800537
qwen2_5_0_5b_instruct,capital:1,capital,chat_template,23,243.2475128173828,11.555524826049805,0.4412516951560974
qwen2_5_0_5b_instruct,capital:2,capital,raw_question,0,4.222611904144287,0.45795994997024536,0.12979236245155334
qwen2_5_0_5b_instruct,capital:2,capital,raw_question,1,7.527579307556152,2.668168544769287,0.1679607331752777
qwen2_5_0_5b_instruct,capital:2,capital,raw_question,2,7.672732830047607,1.5467417240142822,0.1706022024154663
qwen2_5_0_5b_instruct,capital:2,capital,raw_question,3,9.053093910217285,1.8380461931228638,0.19305941462516785
qwen2_5_0_5b_instruct,capital:2,capital,raw_question,4,10.837372779846191,3.040771961212158,0.21246257424354553
