model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_base,base,headquarters,headquarters:14,headquarters:15,qa,chat_template,primary,0,26,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.01657700538635254,0.011481821537017822,-0.005095183849334717,0.6666666666666666,0.0,0.6666666666666666,0.0,0.015675723552703857,-0.0009012818336486816,0.6666666666666666,0.0,0.6666666666666666,0.0,0.016335368156433105,-0.0002416372299194336,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.008840620517730713,0.008325397968292236,-0.0005152225494384766,0.0,-0.2857142857142857,0.0,-0.2857142857142857,0.007388770580291748,-0.0014518499374389648,0.2857142857142857,0.0,0.2857142857142857,0.0,0.007737278938293457,-0.0011033415794372559
smollm2_360m_base,base,headquarters,headquarters:15,headquarters:16,qa,chat_template,primary,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.021874308586120605,-0.009096264839172363,-0.03097057342529297,0.0,0.0,0.0,0.0,-0.0020128488540649414,-0.023887157440185547,0.0,0.0,0.0,0.0,0.022131383419036865,0.00025707483291625977,0.0,0.0,0.0,0.0,0.0,0.0,0.009305059909820557,0.009249567985534668,-5.549192428588867e-05,0.0,0.0,-0.1818181818181818,-0.1818181818181818,-0.01721644401550293,-0.026521503925323486,0.0,0.0,0.0,0.0,-0.014677464962005615,-0.023982524871826172
smollm2_360m_base,base,headquarters,headquarters:16,headquarters:17,qa,chat_template,primary,0,26,0.0,0.0,0.0,-1.0,-1.0,0.0,0.013237357139587402,-0.00041794776916503906,-0.013655304908752441,0.0,0.0,-1.0,0.0,-0.0022541284561157227,-0.015491485595703125,0.0,0.0,-1.0,0.0,0.012801289558410645,-0.0004360675811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.002059638500213623,0.001502692699432373,-0.00055694580078125,0.0,0.0,0.0,0.0,0.0009132027626037598,-0.0011464357376098633,0.0,0.0,-0.4,-0.4,0.0024561285972595215,0.00039649009704589844
smollm2_360m_base,base,headquarters,headquarters:17,headquarters:2,qa,chat_template,primary,0,26,0.8,0.2,-0.6000000000000001,0.8,0.2,-0.6000000000000001,0.032441139221191406,0.03126257658004761,-0.0011785626411437988,0.2,-0.6000000000000001,0.2,-0.6000000000000001,0.03329432010650635,0.0008531808853149414,0.4,-0.4,0.4,-0.4,0.031867146492004395,-0.0005739927291870117,0.0,0.0,0.0,-0.25,-0.2857142857142857,-0.0357142857142857,0.025699079036712646,0.02511584758758545,-0.0005832314491271973,0.0,0.0,-0.25,0.0,0.026652216911315918,0.0009531378746032715,0.0,0.0,-0.25,0.0,0.028068482875823975,0.002369403839111328
smollm2_360m_base,base,birth_place,birth_place:14,birth_place:15,qa,chat_template,primary,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.02523064613342285,0.004840552806854248,-0.020390093326568604,0.0,0.0,0.0,0.0,0.024912476539611816,-0.00031816959381103516,0.0,0.0,0.0,0.0,0.025677859783172607,0.00044721364974975586,0.0,0.0,0.0,0.0,0.0,0.0,0.012108206748962402,0.012102365493774414,-5.841255187988281e-06,0.0,0.0,0.0,0.0,0.007275581359863281,-0.004832625389099121,0.0,0.0,0.0,0.0,0.008261144161224365,-0.003847062587738037
smollm2_360m_base,base,birth_place,birth_place:15,birth_place:16,qa,chat_template,primary,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.04322844743728638,-0.004952609539031982,-0.04818105697631836,0.0,0.0,0.0,0.0,0.044930458068847656,0.0017020106315612793,1.0,1.0,1.0,1.0,0.04277396202087402,-0.0004544854164123535,0.0,0.0,0.0,0.0,0.0,0.0,0.0193479061126709,0.013953924179077148,-0.00539398193359375,0.0,0.0,0.0,0.0,-0.010439872741699219,-0.029787778854370117,0.0,0.0,0.0,0.0,-0.009376704692840576,-0.028724610805511475
smollm2_360m_base,base,birth_place,birth_place:16,birth_place:17,qa,chat_template,primary,0,26,0.6,0.0,-0.6,0.6,0.0,-0.6,0.09808754920959473,-0.04276454448699951,-0.14085209369659424,0.6,0.0,0.6,0.0,0.09758853912353516,-0.0004990100860595703,0.6,0.0,0.6,0.0,0.09673982858657837,-0.0013477206230163574,0.0,0.0,0.0,0.0,0.0,0.0,0.002501070499420166,0.0039042234420776367,0.0014031529426574707,0.0,0.0,0.0,0.0,-0.007130026817321777,-0.009631097316741943,0.0,0.0,0.0,0.0,-0.02144712209701538,-0.023948192596435547
smollm2_360m_base,base,birth_place,birth_place:17,birth_place:2,qa,chat_template,primary,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.03028315305709839,0.00587010383605957,-0.02441304922103882,0.0,0.0,0.0,0.0,0.03027099370956421,-1.2159347534179688e-05,0.0,0.0,0.0,0.0,0.030001461505889893,-0.0002816915512084961,0.0,0.0,0.0,0.0,0.0,0.0,0.016252577304840088,0.014657199382781982,-0.0015953779220581055,0.0,0.0,0.0,0.0,0.007237493991851807,-0.009015083312988281,0.0,0.0,0.0,0.0,0.01018977165222168,-0.006062805652618408
smollm2_360m_base,base,capital,capital:14,capital:15,qa,chat_template,plus_one,1,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.06472361087799072,0.06948530673980713,0.004761695861816406,0.33333333333333337,0.0,0.33333333333333337,0.0,0.06790989637374878,0.0031862854957580566,0.33333333333333337,0.0,0.33333333333333337,0.0,0.064602792263031,-0.0001208186149597168,1.0,0.0,-1.0,1.0,0.0,-1.0,0.018927931785583496,0.015445291996002197,-0.003482639789581299,0.2857142857142857,-0.7142857142857143,0.2857142857142857,-0.7142857142857143,0.01270902156829834,-0.006218910217285156,1.0,0.0,1.0,0.0,0.012909770011901855,-0.006018161773681641
smollm2_360m_base,base,capital,capital:15,capital:16,qa,chat_template,plus_one,1,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.11137491464614868,0.10074836015701294,-0.010626554489135742,0.33333333333333337,0.0,0.33333333333333337,0.0,0.1010468602180481,-0.010328054428100586,0.33333333333333337,0.0,0.33333333333333337,0.0,0.112057626247406,0.0006827116012573242,1.0,1.0,0.0,1.0,1.0,0.0,0.021628379821777344,0.029846131801605225,0.00821775197982788,1.0,0.0,1.0,0.0,0.02624732255935669,0.004618942737579346,1.0,0.0,1.0,0.0,0.021087169647216797,-0.0005412101745605469
smollm2_360m_base,base,capital,capital:16,capital:17,qa,chat_template,plus_one,1,26,0.25,0.2222222222222222,-0.02777777777777779,0.25,0.2222222222222222,-0.02777777777777779,0.0915226936340332,0.08739769458770752,-0.004124999046325684,0.2222222222222222,-0.02777777777777779,0.2222222222222222,-0.02777777777777779,0.08680635690689087,-0.004716336727142334,0.25,0.0,0.25,0.0,0.09175354242324829,0.0002308487892150879,0.2857142857142857,0.33333333333333337,0.04761904761904767,0.2857142857142857,0.33333333333333337,0.04761904761904767,0.020324230194091797,0.022853374481201172,0.002529144287109375,0.33333333333333337,0.04761904761904767,0.33333333333333337,0.04761904761904767,0.024267137050628662,0.003942906856536865,0.33333333333333337,0.04761904761904767,0.33333333333333337,0.04761904761904767,0.01966160535812378,-0.0006626248359680176
smollm2_360m_base,base,capital,capital:17,capital:2,qa,chat_template,plus_one,1,26,0.4,0.0,-0.4,0.4,0.0,-0.4,0.05996847152709961,0.05412161350250244,-0.005846858024597168,0.0,-0.4,0.0,-0.4,0.05530238151550293,-0.00466609001159668,0.4,0.0,0.4,0.0,0.06038928031921387,0.0004208087921142578,0.0,0.0,0.0,0.0,0.0,0.0,0.0196416974067688,0.016620934009552002,-0.003020763397216797,0.0,0.0,0.0,0.0,0.01815485954284668,-0.0014868378639221191,0.0,0.0,0.0,0.0,0.019958913326263428,0.0003172159194946289
smollm2_360m_base,base,official_language,official_language:14,official_language:15,qa,chat_template,plus_one,1,26,0.25,0.25,0.0,0.0,0.0,0.0,0.02560257911682129,0.028283298015594482,0.0026807188987731934,0.25,0.0,0.0,0.0,0.0263211727142334,0.0007185935974121094,0.25,0.0,0.0,0.0,0.02559494972229004,-7.62939453125e-06,0.4,0.4,0.0,0.0,0.0,0.0,0.015962660312652588,0.014082908630371094,-0.0018797516822814941,0.4,0.0,0.0,0.0,0.012600839138031006,-0.003361821174621582,0.4,0.0,0.0,0.0,0.01448976993560791,-0.0014728903770446777
