model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
smollm2_360m_instruct,headquarters:11,headquarters,declarative,14,223.4007110595703,41.15703582763672,0.21461589634418488
smollm2_360m_instruct,headquarters:11,headquarters,declarative,15,247.25592041015625,42.24802780151367,0.2387341558933258
smollm2_360m_instruct,headquarters:11,headquarters,declarative,16,272.42218017578125,40.75326919555664,0.2410666048526764
smollm2_360m_instruct,headquarters:11,headquarters,declarative,17,265.2205505371094,36.122920989990234,0.23246555030345917
smollm2_360m_instruct,headquarters:11,headquarters,declarative,18,268.0925598144531,38.32074737548828,0.2242693454027176
smollm2_360m_instruct,headquarters:11,headquarters,declarative,19,285.3274230957031,27.712312698364258,0.23849844932556152
smollm2_360m_instruct,headquarters:11,headquarters,declarative,20,296.3228759765625,26.68564224243164,0.25816869735717773
smollm2_360m_instruct,headquarters:11,headquarters,declarative,21,355.61181640625,36.740238189697266,0.27257275581359863
smollm2_360m_instruct,headquarters:11,headquarters,declarative,22,388.990478515625,48.611289978027344,0.3693435788154602
smollm2_360m_instruct,headquarters:11,headquarters,declarative,23,426.4144287109375,108.76724243164062,0.33227020502090454
smollm2_360m_instruct,headquarters:11,headquarters,declarative,24,512.71044921875,58.572479248046875,0.3336293697357178
smollm2_360m_instruct,headquarters:11,headquarters,declarative,25,560.0458984375,68.06891632080078,0.33484286069869995
smollm2_360m_instruct,headquarters:11,headquarters,declarative,26,702.5778198242188,144.97454833984375,0.3588666021823883
smollm2_360m_instruct,headquarters:11,headquarters,declarative,27,829.0750122070312,154.93084716796875,0.42270833253860474
smollm2_360m_instruct,headquarters:11,headquarters,declarative,28,953.351806640625,110.26226043701172,0.5073103904724121
smollm2_360m_instruct,headquarters:11,headquarters,declarative,29,1107.4794921875,95.52986145019531,0.5345991253852844
smollm2_360m_instruct,headquarters:11,headquarters,declarative,30,1237.6044921875,121.46202850341797,0.548388659954071
smollm2_360m_instruct,headquarters:11,headquarters,declarative,31,45.19889450073242,90.199462890625,0.6451765894889832
smollm2_360m_instruct,headquarters:11,headquarters,qa,0,52.556724548339844,4.923874855041504,0.07627563923597336
smollm2_360m_instruct,headquarters:11,headquarters,qa,1,71.83319854736328,18.082717895507812,0.14678291976451874
smollm2_360m_instruct,headquarters:11,headquarters,qa,2,85.03755187988281,15.901217460632324,0.15074102580547333
