case_id,layer,cosine_similarity
6011,1,0.9939418451380253
6011,1,0.9952729885003732
6011,2,0.9847345390165392
6011,2,0.9839352792422094
6011,3,0.9504592854083376
6011,3,0.9087550485640103
6011,4,0.8997172416578183
6011,4,0.8758473640525838
6011,5,0.9752184832349637
6011,5,0.9621184267898604
6011,6,0.9524562617332804
6011,6,0.950502817896021
6011,7,0.9827375680613
6011,7,0.9821352819283428
6011,8,0.9788942349793196
6011,8,0.9807427272432374
6011,9,0.9815614891100666
6011,9,0.9807691280000328
6011,10,0.9786455933863695
6011,10,0.9831355712452061
6011,11,0.9316498186945258
6011,11,0.9542476232040273
6011,12,0.8783940169766346
6011,12,0.9466045137504984
6011,13,0.9044693954410457
6011,13,0.9533718436215698
6011,14,0.9233632429630031
6011,14,0.966569286117112
6011,15,0.8921584304459195
6011,15,0.9529674934514086
6011,16,0.9297978151179788
6011,16,0.9677473786196176
6011,17,0.7890536994709874
6011,17,0.8730762130070664
6014,0,0.954829942326047
6014,0,0.8987406986237922
6014,1,0.9987280308242771
6014,1,0.9972823951645515
6014,2,0.9962888432825349
6014,2,0.9943153737883355
6014,3,0.9943582271127097
6014,3,0.9929337100323798
6014,4,0.9965816620878873
6014,4,0.9925032069607617
6014,5,0.9949340922385128
6014,5,0.9892436610496103
6014,6,0.9956110400673089
6014,6,0.9922310996111809
6014,7,0.9976358412324997
6014,7,0.9953266909855193
6014,8,0.9952980573919585
6014,8,0.9957339269662219
6014,9,0.9946878524534212
6014,9,0.9930286445444787
6014,10,0.9913332502200236
6014,10,0.9882453126984997
6014,11,0.9843838682678929
6014,11,0.9770246211255802
6014,12,0.9814560132110789
6014,12,0.9736250136665895
6014,13,0.9842626533113155
6014,13,0.9805696128247872
6014,14,0.981576730884407
6014,14,0.9761569124137072
6014,15,0.9801828993722262
6014,15,0.9727935550985197
6014,16,0.9856116791991376
6014,16,0.9785938217060645
6014,17,0.9393600628191233
6014,17,0.9127654610444568
6808,0,0.9927219966836143
6808,0,0.7427724355271789
6808,1,0.9987416445370596
6808,1,0.9889373097216033
6808,2,0.9853370464793815
6808,2,0.9837555259833121
6808,3,0.9893898272554221
6808,3,0.9035212477967701
6808,4,0.992403054377211
6808,4,0.921489925372423
6808,5,0.9947680332029966
6808,5,0.972135163792223
6808,6,0.9933844275036311
6808,6,0.9608790984499322
6808,7,0.9970204262569156
6808,7,0.9836898374328484
6808,8,0.9948758509387782
6808,8,0.9791196805569103
6808,9,0.9928046267540025
6808,9,0.9774153037572065
6808,10,0.9903102691286301
6808,10,0.9831386411388648
6808,11,0.9751178145841758
6808,11,0.9392541044526258
6808,12,0.9002734028171332
6808,12,0.9317244980705431
6808,13,0.9480722727088966
6808,13,0.9397998627029027
6808,14,0.9516020352665736
6808,14,0.9363890426746772
6808,15,0.9495523734700064
6808,15,0.9384633349908164
6808,16,0.9636018824452086
6808,16,0.951538587412211
6808,17,0.8707893551441162
6808,17,0.8281961951086934
6919,0,0.8776719740392074
6919,0,0.06711131030421955
6919,1,0.9929548769948343
6919,1,0.9530436927450241
6919,2,0.9714602681840346
6919,2,0.917068250281093
6919,3,0.8727149407578094
6919,3,0.8555426454973594
6919,4,0.9309857902908572
6919,4,0.902434949793654
6919,5,0.9651024806491035
6919,5,0.9575210385754898
6919,6,0.9563419079739072
6919,6,0.9390769603120929
6919,7,0.9824788254887215
6919,7,0.9773592810614543
6919,8,0.9822535028857892
6919,8,0.9793699250313697
6919,9,0.9774579934694415
6919,9,0.9749141333243105
6919,10,0.9731452858848212
6919,10,0.9773267248210906
6919,11,0.9457794273076847
6919,11,0.9600820247527715
6919,12,0.9210419588420301
6919,12,0.937280113845394
6919,13,0.9323016388904684
6919,13,0.9439251210674061
6919,14,0.9399785734786222
6919,14,0.9502477778246723
6919,15,0.9121891747609668
6919,15,0.9345138377008436
6919,16,0.9372935822465619
6919,16,0.9522530990315207
6919,17,0.8248161869878989
6919,17,0.8427244079294092
7267,0,0.9742921820176211
7267,0,0.8919456564124514
7267,1,0.9978435630000405
7267,1,0.9799680860567337
7267,2,0.9901344977921552
7267,2,0.9770452471836393
7267,3,0.9776315351782406
7267,3,0.9016269004063525
7267,4,0.9674301572348813
7267,4,0.9612945204044051
7267,5,0.9912454073975735
7267,5,0.9389147795000811
7267,6,0.9905412659781043
7267,6,0.9607972771276633
7267,7,0.9936789692794028
7267,7,0.9788948875875677
7267,8,0.9935343816523734
7267,8,0.9846278619353329
7267,9,0.9892728478855207
7267,9,0.9805877417826815
7267,10,0.988035096118794
7267,10,0.9836574751710719
7267,11,0.9772645937778129
7267,11,0.9718562824801386
7267,12,0.9396047801245355
7267,12,0.9591372221101915
7267,13,0.9600271638344268
7267,13,0.9690109184537167
7267,14,0.9681859199752072
7267,14,0.9745433394196307
7267,15,0.9555260378019227
7267,15,0.967016607151461
7267,16,0.9618507404710351
7267,16,0.9713949502931919
7267,17,0.8912085509034766
7267,17,0.916113695576537
7695,0,0.7310972669481074
7695,0,0.714287338665925
7695,1,0.9873377935237828
7695,1,0.9857392954126901
7695,2,0.9848738290257585
7695,2,0.9808667897520029
7695,3,0.9066650585387916
7695,3,0.9054468266237486
7695,4,0.9208303092187583
7695,4,0.91964060848607
7695,5,0.9580431331984484
7695,5,0.9638780146201508
7695,6,0.96788598278507
7695,6,0.9643249562251289
7695,7,0.9756398303827533
7695,7,0.9773194787617847
7695,8,0.9822716473728867
7695,8,0.981150562720086
7695,9,0.9832624863419213
7695,9,0.980096786799621
7695,10,0.9799050357812912
7695,10,0.9784130219327322
7695,11,0.9490913994621644
7695,11,0.9504372110514924
7695,12,0.93227967746457
7695,12,0.9139600319474537
7695,13,0.947417753912915
7695,13,0.9334281975533965
7695,14,0.9410456401996331
7695,14,0.9231971991733228
7695,15,0.9230025651338013
7695,15,0.9069306277289859
7695,16,0.937155561831149
7695,16,0.9267467119427633
7695,17,0.7563591566516991
7695,17,0.6595812966645476
7797,0,0.9857590906871834
7797,0,0.994806950769967
7797,1,0.9920134655945437
7797,1,0.9948530828235538
7797,2,0.988161515710858
7797,2,0.9913856582886132
7797,3,0.9774660703414245
7797,3,0.9632880793389145
7797,4,0.9846724472429284
7797,4,0.9512004410855093
7797,5,0.9862391217923345
7797,5,0.9824672262266549
7797,6,0.9810127835937439
7797,6,0.9508098399683986
7797,7,0.9888314677545593
7797,7,0.9870990125444807
7797,8,0.9850311538650526
7797,8,0.9892912357330527
7797,9,0.9887979156966984
7797,9,0.9904431511117162
7797,10,0.9848993416320573
7797,10,0.9897338072883684
7797,11,0.965537870732513
7797,11,0.9689493710819361
7797,12,0.9529836110258489
7797,12,0.9574656968468012
7797,13,0.9460749584063142
7797,13,0.942789743043801
7797,14,0.9520675361387114
7797,14,0.9484008060233068
7797,15,0.9460465096469932
7797,15,0.940228074138521
7797,16,0.9585317575643958
7797,16,0.9565983733275751
7797,17,0.854749677928659
7797,17,0.8461092667800477
10217,0,0.8996686277922017
10217,0,0.887841368565633
10217,1,0.990509371454564
10217,1,0.9917361755303346
10217,2,0.9772311138310144
10217,2,0.9836615349640186
10217,3,0.886424049637963
10217,3,0.9209505370995181
10217,4,0.9005845156257091
10217,4,0.9458790586928557
10217,5,0.9490249201514944
10217,5,0.9737408698682025
10217,6,0.9580050474527677
10217,6,0.9559244703475955
10217,7,0.9668489285011732
10217,7,0.9739544067786958
10217,8,0.9616784558245921
10217,8,0.9785792004099693
10217,9,0.9736123530016614
10217,9,0.9824495029265591
