fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap,split_eval,analysis_variant
capital:2,capital,preanswer,14,0.7312581340471903,0.7960024925277513,-0.06474435848056104,all,all_families
capital:2,capital,preanswer,15,0.7198950747648875,0.7873946890673217,-0.06749961430243423,all,all_families
capital:2,capital,preanswer,16,0.7251814007759094,0.79070064776084,-0.06551924698493061,all,all_families
capital:2,capital,preanswer,17,0.7370388309160868,0.7998660603428588,-0.06282722942677199,all,all_families
capital:2,capital,preanswer,18,0.7414264480272929,0.8024702994700741,-0.06104385144278124,all,all_families
capital:2,capital,preanswer,19,0.734689881404241,0.7983088922851226,-0.06361901088088162,all,all_families
capital:2,capital,preanswer,20,0.7162926197052002,0.7842549981878084,-0.06796237848260822,all,all_families
capital:2,capital,preanswer,21,0.7410169045130411,0.8026498748975641,-0.06163297038452298,all,all_families
capital:2,capital,preanswer,22,0.7144884765148163,0.7833393086843631,-0.0688508321695468,all,all_families
capital:2,capital,preanswer,23,0.6971361041069031,0.7688869879964519,-0.07175088388954887,all,all_families
capital:2,capital,preanswer,24,0.7196541627248129,0.7843513107475113,-0.06469714802269844,all,all_families
capital:2,capital,preanswer,25,0.6851181040207545,0.7564007395549732,-0.07128263553421876,all,all_families
capital:2,capital,preanswer,26,0.6589872638384501,0.7026858995942509,-0.043698635755800797,all,all_families
capital:2,capital,preanswer,27,0.649980386098226,0.6364501220557619,0.013530264042464046,all,all_families
capital:2,capital,preanswer,28,0.634774292508761,0.6299462698619155,0.0048280226468455645,all,all_families
capital:2,capital,preanswer,29,0.6471339960892996,0.6440139571752619,0.0031200389140376705,all,all_families
capital:2,capital,preanswer,30,0.6256176879008611,0.625541615573799,7.607232706219325e-05,all,all_families
capital:2,capital,preanswer,31,0.21238196330765882,0.3442672513641917,-0.13188528805653285,all,all_families
capital:3,capital,subject,0,0.9987265566984812,0.5398453550741953,0.4588812016242859,all,all_families
capital:3,capital,subject,1,0.9977386196454366,0.5097916319089777,0.48794698773645895,all,all_families
capital:3,capital,subject,2,0.9951218763987223,0.49311558715999126,0.502006289238731,all,all_families
capital:3,capital,subject,3,0.9903931617736816,0.37167427371091705,0.6187188880627645,all,all_families
capital:3,capital,subject,4,0.9878664513429006,0.3533784778898253,0.6344879734530753,all,all_families
capital:3,capital,subject,5,0.9854184091091156,0.34190993032911243,0.6435084787800032,all,all_families
capital:3,capital,subject,6,0.9851983884970347,0.46920177954084735,0.5159966089561874,all,all_families
capital:3,capital,subject,7,0.987892746925354,0.5400131104842705,0.44787963644108353,all,all_families
capital:3,capital,subject,8,0.9874266584714254,0.5434702841893715,0.4439563742820539,all,all_families
capital:3,capital,subject,9,0.9884455899397532,0.5488136206917903,0.4396319692479629,all,all_families
capital:3,capital,subject,10,0.9878704249858856,0.5292968857376015,0.45857353924828415,all,all_families
capital:3,capital,subject,11,0.9873637358347574,0.5395396784605349,0.4478240573742226,all,all_families
capital:3,capital,subject,12,0.9850338598092397,0.5193376384456369,0.4656962213636029,all,all_families
capital:3,capital,subject,13,0.9855900208155314,0.5547619796193698,0.4308280411961616,all,all_families
capital:3,capital,subject,14,0.9865646660327911,0.6028057196561027,0.3837589463766884,all,all_families
capital:3,capital,subject,15,0.9855019251505533,0.6214785058708752,0.3640234192796782,all,all_families
capital:3,capital,subject,16,0.984996885061264,0.6287554570418947,0.3562414280193693,all,all_families
capital:3,capital,subject,17,0.983479917049408,0.6129141110269463,0.3705658060224617,all,all_families
capital:3,capital,subject,18,0.9828556080659231,0.5992969997665462,0.38355860829937694,all,all_families
capital:3,capital,subject,19,0.9815738697846731,0.6573531340588542,0.3242207357258189,all,all_families
capital:3,capital,subject,20,0.9806532164414724,0.6285409313790938,0.35211228506237857,all,all_families
capital:3,capital,subject,21,0.9737212657928467,0.651775119935765,0.3219461458570817,all,all_families
capital:3,capital,subject,22,0.9771876732508341,0.6414684679578332,0.3357192052930009,all,all_families
capital:3,capital,subject,23,0.97637540102005,0.6022078486926415,0.3741675523274085,all,all_families
capital:3,capital,subject,24,0.9784041742483774,0.6341610702083391,0.34424310404003833,all,all_families
capital:3,capital,subject,25,0.9630472958087921,0.6062592353452655,0.3567880604635266,all,all_families
capital:3,capital,subject,26,0.9616934855779012,0.6035850568510154,0.35810842872688586,all,all_families
capital:3,capital,subject,27,0.9621996482213339,0.6098828280673307,0.3523168201540031,all,all_families
capital:3,capital,subject,28,0.9603996872901917,0.6231101296622964,0.33728955762789525,all,all_families
capital:3,capital,subject,29,0.9656551579634348,0.666351319564616,0.2993038383988188,all,all_families
capital:3,capital,subject,30,0.9631869494915009,0.6508534106918994,0.31233353879960146,all,all_families
capital:3,capital,subject,31,0.8625832696755728,0.47289640631745844,0.3896868633581143,all,all_families
capital:3,capital,preanswer,0,0.7880564033985138,0.836622276726891,-0.04856587332837725,all,all_families
capital:3,capital,preanswer,1,0.836367110411326,0.8745773027048391,-0.03821019229351308,all,all_families
capital:3,capital,preanswer,2,0.8081690569718679,0.8531027889865286,-0.044933732014660666,all,all_families
capital:3,capital,preanswer,3,0.7620207667350769,0.8167739365907276,-0.05475316985565071,all,all_families
capital:3,capital,preanswer,4,0.7454567849636078,0.8053913602934164,-0.059934575329808615,all,all_families
capital:3,capital,preanswer,5,0.7162251472473145,0.7836420996224179,-0.06741695237510348,all,all_families
capital:3,capital,preanswer,6,0.6994604468345642,0.7727941993404838,-0.07333375250591956,all,all_families
capital:3,capital,preanswer,7,0.7203785677750906,0.7872660377008074,-0.06688746992571681,all,all_families
capital:3,capital,preanswer,8,0.7174367606639862,0.7854855584309381,-0.06804879776695194,all,all_families
capital:3,capital,preanswer,9,0.7158373395601908,0.7852135697270141,-0.06937623016682326,all,all_families
capital:3,capital,preanswer,10,0.7051550547281901,0.7759423301938702,-0.07078727546568009,all,all_families
capital:3,capital,preanswer,11,0.7094571987787882,0.780209912754157,-0.07075271397536875,all,all_families
capital:3,capital,preanswer,12,0.7252993683020273,0.7933887674966279,-0.06808939919460055,all,all_families
capital:3,capital,preanswer,13,0.7268451650937399,0.7928394944790531,-0.06599432938531324,all,all_families
capital:3,capital,preanswer,14,0.7209430734316508,0.7910141423344612,-0.07007106890281045,all,all_families
capital:3,capital,preanswer,15,0.7120886147022247,0.7835732415756759,-0.07148462687345114,all,all_families
capital:3,capital,preanswer,16,0.720937709013621,0.7883573358549791,-0.06741962684135816,all,all_families
capital:3,capital,preanswer,17,0.7335764666398367,0.797485458500245,-0.06390899186040833,all,all_families
capital:3,capital,preanswer,18,0.7337741057078043,0.7986166435567772,-0.06484253784897287,all,all_families
capital:3,capital,preanswer,19,0.7261695265769958,0.7943487053408342,-0.06817917876383839,all,all_families
capital:3,capital,preanswer,20,0.7092794179916382,0.7807849643423277,-0.07150554635068951,all,all_families
capital:3,capital,preanswer,21,0.7326726218064626,0.7987004792427316,-0.06602785743626893,all,all_families
capital:3,capital,preanswer,22,0.7064928909142812,0.7794136556194109,-0.07292076470512965,all,all_families
capital:3,capital,preanswer,23,0.6847496430079142,0.7621585257789668,-0.07740888277105262,all,all_families
capital:3,capital,preanswer,24,0.7106354037920634,0.7789726732846569,-0.06833726949259356,all,all_families
capital:3,capital,preanswer,25,0.6764724453290304,0.7488718409748638,-0.07239939564583342,all,all_families
capital:3,capital,preanswer,26,0.6507987231016159,0.6963019950644058,-0.045503271962789915,all,all_families
capital:3,capital,preanswer,27,0.6288031985362371,0.6413445348906166,-0.012541336354379484,all,all_families
capital:3,capital,preanswer,28,0.6326413005590439,0.6367823862854172,-0.004141085726373284,all,all_families
capital:3,capital,preanswer,29,0.6346944073836008,0.6495955065988442,-0.014901099215243407,all,all_families
capital:3,capital,preanswer,30,0.5917247186104456,0.6233170498162508,-0.03159233120580518,all,all_families
capital:3,capital,preanswer,31,0.2534499503672123,0.36448969547970644,-0.11103974511249415,all,all_families
capital:4,capital,subject,0,0.8586159845193228,0.8076835212242954,0.05093246329502732,all,all_families
