position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation,model_name,model_variant
subject,17,0.9143775544232792,0.7566521314697133,0.7584309748296315,0.1577254229535659,0.0864396393299102,gemma_270m_base,base
preanswer,0,0.872668717470434,0.90445016283128,0.9041790748791148,-0.031781445360846,0.1269170343875885,gemma_270m_base,base
preanswer,1,0.9853618815541269,0.988976825442579,0.9889354090361544,-0.0036149438884522,0.0145658453305562,gemma_270m_base,base
preanswer,2,0.9781795276535882,0.983580504440599,0.9835191211507966,-0.0054009767870107,0.0216581424077351,gemma_270m_base,base
preanswer,3,0.9381130387385688,0.953528174923526,0.9534103784244508,-0.0154151361849572,0.0614608029524485,gemma_270m_base,base
preanswer,4,0.941307912270228,0.955829902448588,0.9556536629485588,-0.0145219901783598,0.0580193301041921,gemma_270m_base,base
preanswer,5,0.9604936333166229,0.970287188473675,0.9699010769836603,-0.0097935551570521,0.0389564037322998,gemma_270m_base,base
preanswer,6,0.9706447761919764,0.9776454762452178,0.9774617116587856,-0.0070007000532414,0.028369536002477,gemma_270m_base,base
preanswer,7,0.9837572889195548,0.987614077826341,0.987022245225186,-0.0038567889067862,0.0155801773071289,gemma_270m_base,base
preanswer,8,0.9810239399472872,0.9856011058307356,0.9850634465304514,-0.0045771658834484,0.0181419650713602,gemma_270m_base,base
preanswer,9,0.9761000333560838,0.98183837843438,0.9809181356492142,-0.0057383450782961,0.022555669148763,gemma_270m_base,base
preanswer,10,0.9833205218116442,0.9870046319233048,0.9847001125259944,-0.0036841101116604,0.0148037771383921,gemma_270m_base,base
preanswer,11,0.952252028716935,0.962368704792526,0.9540669624693692,-0.0101166760755909,0.0407218833764394,gemma_270m_base,base
preanswer,12,0.9533754272593392,0.8307965050141016,0.8421092196367681,0.1225789222452375,0.0384824673334757,gemma_270m_base,base
preanswer,13,0.961371622979641,0.9246619341688024,0.9178493794364234,0.0367096888108385,0.0290798942248026,gemma_270m_base,base
preanswer,14,0.9661250180668302,0.9413556582811806,0.9333139619945238,0.0247693597856495,0.0260568459828694,gemma_270m_base,base
preanswer,15,0.9583196060525048,0.9095991663634776,0.8982064986291031,0.0487204396890269,0.0309668580691019,gemma_270m_base,base
preanswer,16,0.9699322250154284,0.9422826518615088,0.9355967168230565,0.0276495731539195,0.0210973024368286,gemma_270m_base,base
preanswer,17,0.7962145755688349,0.7175319104765853,0.6684264102562641,0.0786826650922496,0.1823373238245646,gemma_270m_base,base
subject,0,0.672809454301993,0.352065369189303,0.4524068074388196,0.32074408511269,0.3420306742191314,qwen2_5_0_5b_base,base
subject,1,0.8083277940750122,0.5176684201901985,0.6008972468747137,0.2906593738848136,0.1927855610847473,qwen2_5_0_5b_base,base
subject,2,0.7493702541622851,0.4772078092209995,0.5574345464507738,0.2721624449412856,0.2425919274489084,qwen2_5_0_5b_base,base
subject,3,0.7467022699614366,0.50589821063396,0.5771938901355801,0.2408040593274766,0.2322793503602346,qwen2_5_0_5b_base,base
subject,4,0.7444664819373025,0.5245925505749054,0.5877971969312057,0.219873931362397,0.206732561190923,qwen2_5_0_5b_base,base
subject,5,0.7317823477917247,0.5089453440159559,0.5691846495028585,0.2228370037757687,0.2360801895459493,qwen2_5_0_5b_base,base
subject,6,0.7305947587721877,0.4849905013106763,0.5514934146970821,0.2456042574615113,0.2517120242118835,qwen2_5_0_5b_base,base
subject,7,0.7517449806133906,0.5163512109364901,0.5786930237857936,0.2353937696769005,0.2285316089789072,qwen2_5_0_5b_base,base
subject,8,0.7708139965931574,0.5366743377202915,0.5969702237052843,0.2341396588728659,0.2071505983670552,qwen2_5_0_5b_base,base
subject,9,0.7891076480348905,0.5800143455465635,0.6337484593580788,0.209093302488327,0.1782015860080719,qwen2_5_0_5b_base,base
subject,10,0.7827573062645065,0.575755323179894,0.6249116491526365,0.2070019830846124,0.1852885286013285,qwen2_5_0_5b_base,base
subject,11,0.7696707886126306,0.5583954541426566,0.6095054774777964,0.211275334469974,0.2010775208473205,qwen2_5_0_5b_base,base
subject,12,0.7801733728912141,0.5880396441659994,0.6346115152506778,0.1921337287252147,0.1870984633763631,qwen2_5_0_5b_base,base
subject,13,0.7704108663731151,0.5944390135506789,0.6393983545325076,0.1759718528224362,0.1948101222515106,qwen2_5_0_5b_base,base
subject,14,0.7326548939777745,0.5858255127030942,0.621466538325573,0.1468293812746802,0.23215252161026,qwen2_5_0_5b_base,base
subject,15,0.7286377391881413,0.5704660050364004,0.6086682793490278,0.1581717341517409,0.2382067342599233,qwen2_5_0_5b_base,base
subject,16,0.7250756099820137,0.5951279395570358,0.629132579274786,0.1299476704249779,0.2233954966068267,qwen2_5_0_5b_base,base
subject,17,0.7252696024047004,0.6125049996707175,0.6449396691750735,0.1127646027339829,0.2280160586039225,qwen2_5_0_5b_base,base
subject,18,0.7219644673168659,0.6293395613837574,0.6538505313607553,0.0926249059331085,0.2295145591100057,qwen2_5_0_5b_base,base
subject,19,0.6918831119934717,0.6277663260180917,0.6462920351380793,0.06411678597538,0.2443191905816396,qwen2_5_0_5b_base,base
subject,20,0.7125338671935929,0.671405617458125,0.6769699515619626,0.0411282497354679,0.2187412579854329,qwen2_5_0_5b_base,base
subject,21,0.7780053814252218,0.7290678416482277,0.7375722565921023,0.0489375397769941,0.1697546243667602,qwen2_5_0_5b_base,base
