model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_base,base,capital,capital:10,capital:11,qa,chat_template,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.11936068534851074,0.09823065996170044,-0.021130025386810303,0.25,0.0,0.25,0.0,0.10049217939376831,-0.01886850595474243,0.25,0.0,0.25,0.0,0.11913716793060303,-0.00022351741790771484,0.4,0.4,0.0,0.4,0.4,0.0,0.02567124366760254,0.028425633907318115,0.002754390239715576,0.4,0.0,0.4,0.0,0.028243839740753174,0.0025725960731506348,0.5,0.09999999999999998,0.5,0.09999999999999998,0.027859210968017578,0.002187967300415039
smollm2_360m_base,base,capital,capital:11,capital:2,qa,chat_template,0,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.0802118182182312,0.07559168338775635,-0.0046201348304748535,0.33333333333333337,0.0,0.33333333333333337,0.0,0.07497584819793701,-0.0052359700202941895,0.33333333333333337,0.0,0.33333333333333337,0.0,0.08010166883468628,-0.00011014938354492188,1.0,1.0,0.0,1.0,1.0,0.0,0.03999447822570801,0.03908991813659668,-0.0009045600891113281,1.0,0.0,1.0,0.0,0.038800954818725586,-0.0011935234069824219,1.0,0.0,1.0,0.0,0.03737592697143555,-0.002618551254272461
smollm2_360m_base,base,official_language,official_language:0,official_language:1,qa,chat_template,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.040915489196777344,0.03229182958602905,-0.008623659610748291,0.25,0.0,0.25,0.0,0.03191256523132324,-0.009002923965454102,0.25,0.0,0.25,0.0,0.04073673486709595,-0.00017875432968139648,0.0,0.0,0.0,0.0,0.0,0.0,0.030396223068237305,0.03206014633178711,0.0016639232635498047,0.0,0.0,0.0,0.0,0.029850482940673828,-0.0005457401275634766,0.0,0.0,0.0,0.0,0.03242009878158569,0.0020238757133483887
smollm2_360m_base,base,official_language,official_language:1,official_language:10,qa,chat_template,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.026838958263397217,0.02324056625366211,-0.0035983920097351074,0.0,0.0,0.0,0.0,0.02219158411026001,-0.004647374153137207,0.0,0.0,0.0,0.0,0.02695554494857788,0.00011658668518066406,0.0,0.0,0.0,0.0,0.0,0.0,0.017673194408416748,0.017013192176818848,-0.0006600022315979004,0.0,0.0,0.0,0.0,0.017534196376800537,-0.00013899803161621094,0.0,0.0,0.0,0.0,0.018271148204803467,0.0005979537963867188
smollm2_360m_base,base,official_language,official_language:2,official_language:3,qa,chat_template,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.03542226552963257,0.027215778827667236,-0.008206486701965332,0.0,0.0,0.0,0.0,0.03562659025192261,0.00020432472229003906,0.0,0.0,0.0,0.0,0.03460431098937988,-0.0008179545402526855,0.0,0.0,0.0,0.0,0.0,0.0,0.021204054355621338,0.021421611309051514,0.00021755695343017578,0.0,0.0,0.0,0.0,0.016687989234924316,-0.0045160651206970215,0.0,0.0,0.0,0.0,0.02183634042739868,0.0006322860717773438
smollm2_360m_base,base,official_language,official_language:3,official_language:4,qa,chat_template,0,26,0.25,0.25,0.0,0.04999999999999999,0.04999999999999999,0.0,0.03224879503250122,-0.005306601524353027,-0.03755539655685425,0.25,0.0,0.04999999999999999,0.0,0.01583927869796753,-0.01640951633453369,0.25,0.0,0.04999999999999999,0.0,0.03222775459289551,-2.104043960571289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.01967036724090576,0.010517477989196777,-0.009152889251708984,0.0,0.0,0.0,0.0,-0.008821964263916016,-0.028492331504821777,0.0,0.0,0.0,0.0,-0.007831811904907227,-0.02750217914581299
smollm2_360m_base,base,official_language,official_language:4,official_language:5,qa,chat_template,0,26,0.2857142857142857,0.25,-0.0357142857142857,0.2857142857142857,0.25,-0.0357142857142857,0.042250633239746094,0.033561766147613525,-0.008688867092132568,0.25,-0.0357142857142857,0.25,-0.0357142857142857,0.03356921672821045,-0.008681416511535645,0.2857142857142857,0.0,0.2857142857142857,0.0,0.04196774959564209,-0.0002828836441040039,0.4,0.4,0.0,0.4,0.4,0.0,0.02421325445175171,0.023236632347106934,-0.0009766221046447754,0.0,-0.4,0.0,-0.4,0.019848346710205078,-0.004364907741546631,0.4,0.0,0.4,0.0,0.024535417556762695,0.00032216310501098633
smollm2_360m_base,base,official_language,official_language:5,official_language:6,qa,chat_template,0,26,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.028664469718933105,0.024408698081970215,-0.004255771636962891,0.19999999999999998,0.0,0.0,0.0,0.024374663829803467,-0.004289805889129639,0.19999999999999998,0.0,0.0,0.0,0.028718948364257812,5.447864532470703e-05,0.4,0.4,0.0,0.0,0.0,0.0,0.019802987575531006,0.012694299221038818,-0.0071086883544921875,0.4,0.0,0.0,0.0,0.010003089904785156,-0.00979989767074585,0.4,0.0,0.0,0.0,0.010863900184631348,-0.008939087390899658
smollm2_360m_base,base,official_language,official_language:6,official_language:7,qa,chat_template,0,26,0.2857142857142857,0.25,-0.0357142857142857,0.2857142857142857,0.25,-0.0357142857142857,0.0520174503326416,0.05004662275314331,-0.001970827579498291,0.25,-0.0357142857142857,0.25,-0.0357142857142857,0.05033218860626221,-0.0016852617263793945,0.2857142857142857,0.0,0.2857142857142857,0.0,0.05261415243148804,0.0005967020988464355,0.25,0.25,0.0,0.25,0.25,0.0,0.023653149604797363,0.025386452674865723,0.0017333030700683594,0.25,0.0,0.25,0.0,0.02457571029663086,0.0009225606918334961,0.25,0.0,0.25,0.0,0.02306365966796875,-0.0005894899368286133
smollm2_360m_base,base,official_language,official_language:7,official_language:8,qa,chat_template,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.056037724018096924,0.041259706020355225,-0.0147780179977417,0.0,0.0,0.0,0.0,0.04239529371261597,-0.013642430305480957,0.0,0.0,0.0,0.0,0.055737316608428955,-0.00030040740966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.029651641845703125,0.030758202075958252,0.001106560230255127,0.0,0.0,0.0,0.0,0.030327975749969482,0.0006763339042663574,0.0,0.0,0.0,0.0,0.02905106544494629,-0.0006005764007568359
