layer,neuron,mean_abs_activation,activation_std,sharedness
0,1798,2.2621875,0.030021151397806183,75.3506126201637
17,492,2.256875,0.0455178536400828,49.581103642132376
7,1405,2.24734375,0.05092192054692654,44.13226354385989
7,1253,2.23875,0.08483900193896672,26.387906044728055
0,1717,2.22921875,0.022969812900576706,97.04570576795011
0,1586,2.21609375,0.02989687679654014,74.1221112482627
4,723,2.215703125,0.3219885551361598,6.8812888171575795
0,1601,2.21453125,0.0208293616005748,106.31266477577093
0,1172,2.2140625,0.029522568168267475,74.99305258026767
6,1548,2.1875,0.024506854908372067,89.25709770106128
0,1679,2.18453125,0.06380263605202764,34.238350432233354
0,734,2.17796875,0.031860827118697026,68.35668092373564
8,65,2.1515625,0.022262198201210948,96.64211226772312
15,881,2.13984375,0.045197861450377276,47.34286841161435
17,352,2.139609375,0.105827832016426,20.2176413953799
17,798,2.13953125,0.04370840656770159,48.94898874195594
7,1061,2.133125,0.08345066609605342,25.561203266388464
15,633,2.128515625,0.10593574274906876,20.09232651264153
0,1041,2.11875,0.012499999999999999,169.48644108471325
0,1589,2.10671875,0.03933064217709266,53.562949152094774
0,335,2.097109375,0.027847042278703042,75.3054507032179
1,1556,2.09421875,0.01814855688994307,115.3867701949482
6,1453,2.090703125,0.0699896668573074,29.871170241346537
1,923,2.0734375,0.01801962905417312,115.05910774628838
0,1078,2.06875,0.028384222069663987,72.88123358425038
10,1015,2.060234375,0.02339305682081491,88.0665713852119
0,1165,2.06,0.02293417891488596,89.81835317896594
0,141,2.05796875,0.021796174943955193,94.4144713840872
1,208,2.046328125,0.03092121967471326,66.17662465781494
0,1362,2.035078125,0.021720857586588864,93.68803367242694
0,1478,2.0315625,0.05157338900174197,39.390917455781825
0,1474,2.031484375,0.03768598087216087,53.90414217289143
17,1402,2.026015625,0.046823604636677375,43.268184338561106
1,1001,2.0240625,0.04102388309722764,49.33743492219192
0,193,2.001484375,0.03785146171942207,52.87593683697036
4,1097,2.000234375,0.0680491173568539,29.393547765844364
0,823,1.9996875,0.025241025632885834,79.22056371715135
2,1950,1.9896875,0.021162503691671265,94.01503309600982
0,1848,1.978046875,0.02664726823328941,74.22797075154755
0,1501,1.96953125,0.06259270468423217,31.465324826765524
14,490,1.96828125,0.04212698205648608,46.7214700044471
0,371,1.96140625,0.04227161752804712,46.398977983765555
0,1407,1.9440625,0.02374074655260445,81.88371886173378
0,604,1.940390625,0.014047518060920052,138.12066273365505
3,513,1.935703125,0.0892121481248315,21.697509455573382
1,858,1.931328125,0.017126846102592123,112.75954451200454
15,713,1.9275,0.06338321260889984,30.409780616717132
17,1693,1.922734375,0.04111624562501877,46.76223676398369
7,345,1.92203125,0.059477501983418064,32.31472188952978
0,1336,1.910859375,0.01979802186891092,96.51281702963794
11,2011,1.91046875,0.04564024788016056,41.85838115154706
7,1228,1.907109375,0.06619815741334403,28.808665389683288
0,1237,1.89375,0.041955379944054856,45.136162903595334
11,605,1.885625,0.030045538354304787,62.75681337280723
0,1269,1.8725,0.03167446107473654,59.11516159407869
11,1515,1.871484375,0.04017744759092935,46.579310232546284
6,410,1.861640625,0.017687851973088052,105.24372230783057
1,1793,1.853828125,0.0731151085056767,25.35457866792883
0,644,1.8425,0.05956712337774924,30.930972733786636
0,1311,1.8415625,0.065346133684404,28.181228405424523
7,1440,1.836640625,0.20068880106534812,9.15163907308851
0,1802,1.83546875,0.04054710079416899,45.26645426174804
6,1490,1.82703125,0.09933875616577097,18.391742848162252
6,1518,1.823828125,0.03800723037195522,47.98508394502184
0,898,1.8221875,0.01795583775196802,101.47596838426037
0,1354,1.818984375,0.04269164911662321,42.60650047812899
0,2,1.818515625,0.016931870316709702,107.3955915911936
0,1138,1.801796875,0.05048174900319793,35.69133833987253
16,1682,1.798515625,0.03338955016987912,53.86301261434144
0,149,1.78953125,0.025141688332081042,71.17501622595509
0,1182,1.788203125,0.017742976988709507,100.77803449237076
0,332,1.778828125,0.01584589944739253,112.25086212638843
0,1516,1.7771875,0.027786153251214897,63.957163367294505
